,date,total_graph_big_buy_percentage,total_graph_big_sale_percentage,finance_sector_big_buy_percentage,finance_sector_big_sale_percentage,oil_sector_big_buy_percentage,oil_sector_big_sale_percentage,services_sector_big_buy_percentage,services_sector_big_sale_percentage,software_industry_big_buy_percentage,software_industry_big_sale_percentage,oil_industry_big_buy_percentage,oil_industry_big_sale_percentage,real_estate_industry_big_buy_percentage,real_estate_industry_big_sale_percentage
0,1999-06-30,0.3813299454572357,0.14292857397968295,0.36184062006170514,0.15204304311836858,0.37519105462151076,0.13434156544123563,0.40653217414655435,0.12889798932563526,0.3975477821853588,0.12340425531914893,0.394861561486655,0.13893739087054127,0.386126973463218,0.13973799126637554
1,1999-09-30,0.310435340016136,0.18453045390745018,0.29992074417052517,0.18871230133900638,0.29394387001477107,0.18696566850185758,0.3311719833564494,0.1611997226074896,0.33747096399535426,0.14939024390243902,0.3548847159496078,0.1652008557166627,0.27900938685839827,0.21030557219892151
2,1999-12-31,0.3205403317525375,0.18316667024312783,0.3055436183927804,0.1924795874516545,0.31488380344154693,0.17584708178108924,0.34783658198056844,0.14706414821072958,0.3532739528165624,0.130958112662494,0.34108329075114974,0.19340827797649462,0.3216503992901508,0.18877551020408162
3,2000-03-31,0.3215795366547797,0.19467009958420267,0.2879077878439879,0.21874867083492833,0.31999215224641947,0.19293702177751618,0.35652868875048227,0.15799481893843356,0.3740901712310834,0.13944598628056762,0.3318945933666515,0.2024079963652885,0.26866637893828227,0.2311178247734139
4,2000-06-30,0.32287282145004664,0.18219566586334734,0.32310950450943876,0.18450359659692556,0.31908607445341736,0.1789245617490644,0.33257635971386396,0.16787782445781765,0.3226498137907685,0.1673061731181582,0.3435414212799372,0.20023557126030625,0.3649971214738054,0.17976396085204374
5,2000-09-30,0.3065930101025861,0.1842210477044896,0.293052988293284,0.19019562538508933,0.297207286734612,0.18200786453735654,0.32365230094959824,0.16438276113951789,0.32353281629818265,0.15788864451904155,0.333018154311649,0.18872919818456885,0.29318493672815976,0.1937795395639579
6,2000-12-31,0.3096853430499472,0.1888712140782133,0.3057490990217951,0.18431439848978892,0.3089175546831183,0.1890820714152178,0.32165883509998905,0.17317779477652714,0.3246145374449339,0.163931718061674,0.3112820512820513,0.19470085470085471,0.25643469971401334,0.1965363838576422
7,2001-03-31,0.31928130890311435,0.19473847579545914,0.3325526932084309,0.17817843508389208,0.32147742818057456,0.1875254187155692,0.3232903587443946,0.18937780269058296,0.32597054886211513,0.18780678268630077,0.31366882012920777,0.1963617817069024,0.3018094430308171,0.17062482329657902
8,2001-06-30,0.31949677323087255,0.1882297534226135,0.31777622980727765,0.17753010249776097,0.31782111097818716,0.1854687562308091,0.32915701250035756,0.1801824994994136,0.31822765288569904,0.18547956581054628,0.32148706190632165,0.1986570586308549,0.2897719122077177,0.1843351025677808
9,2001-09-30,0.2890871660876709,0.2151983926680325,0.29232876712328765,0.20284246575342466,0.2833046616036588,0.21881424915033776,0.2930329158537353,0.2104600667128202,0.28692518187278915,0.21704598545017686,0.2864925793725343,0.2273154236332895,0.3048245614035088,0.18976608187134503
10,2001-12-31,0.3204748300223684,0.19951719708546498,0.3190005993879933,0.19256127953563204,0.31610650705954574,0.20096685082872928,0.33181818181818185,0.19303030303030302,0.3291526991099295,0.19263668940006937,0.3164712060213548,0.18991773148958516,0.3361981799797776,0.1775783619817998
11,2002-03-31,0.3045136254046318,0.20546168845514712,0.29313161678211996,0.19716376944190303,0.2966956092341879,0.2148882762026254,0.3145201238390093,0.19510835913312694,0.3127942398227638,0.19807532539462752,0.3140583554376658,0.1837312113174182,0.29615732953810325,0.1987320481304179
12,2002-06-30,0.3225727593778511,0.1932494314138914,0.325893253604097,0.17426955981172848,0.32200653946442614,0.20019866727370556,0.33059192430410383,0.19179777753328198,0.3132950860563732,0.2090920429034672,0.32092719555990856,0.16764609859614757,0.34032103497843796,0.16027791087685672
13,2002-09-30,0.277784374257896,0.21916500739820616,0.2784629981024668,0.20297675521821631,0.2802897933091839,0.22360963136586406,0.2806163585869143,0.2152775704004539,0.2782114975159688,0.21618168914123492,0.26089133700550826,0.20764480053413453,0.2783466995681678,0.20185070943861813
14,2002-12-31,0.30163430807504005,0.20780324559772648,0.2890123603517946,0.19553719990492038,0.31676159479251426,0.19605370219690804,0.31030050274223037,0.20361060329067643,0.31461258450338014,0.20241809672386896,0.30105138456982083,0.1905819635717459,0.28479365472797125,0.19382823150328418
15,2003-03-31,0.2894983473303556,0.22084512451025662,0.2768614009854026,0.20748538727545368,0.2896712619300106,0.224220572640509,0.30559908389585344,0.21199975891996142,0.31820626596746,0.21117386042759176,0.2871317356128835,0.20729659593955121,0.27234476603340557,0.1895958179268137
16,2003-06-30,0.308279338269617,0.2019022821390182,0.3117621096767075,0.1805969325830299,0.31263290541072697,0.19815704497125305,0.32036568760941453,0.19873843332314448,0.3210155857214681,0.20305429864253394,0.3163652940282632,0.18431849263029934,0.3043377674956622,0.1686524002313476
17,2003-09-30,0.2909640927972154,0.21860377296534061,0.28831538523511563,0.20286274404490157,0.29155600687392597,0.22211373222933917,0.2996241516372387,0.21209745017981235,0.3041951464225246,0.21583996990029472,0.27831121152216887,0.2149110420785089,0.2964764375270212,0.17866407263294423
18,2003-12-31,0.30706573361505807,0.19618508538972998,0.3053347307072928,0.17865085248332097,0.2975267086199327,0.19983901653739206,0.3231973280825503,0.18823060242765635,0.32514846962083144,0.187243033348561,0.2753143613500993,0.19073461283917936,0.31780400205233456,0.1608004104669061
