,date,total_graph_early_filing_percentage,total_graph_on_filing_percentage,finance_sector_early_filing_percentage,finance_sector_on_filing_percentage,oil_sector_early_filing_percentage,oil_sector_on_filing_percentage,services_sector_early_filing_percentage,services_sector_on_filing_percentage,software_industry_early_filing_percentage,software_industry_on_filing_percentage,oil_industry_early_filing_percentage,oil_industry_on_filing_percentage,real_estate_industry_early_filing_percentage,real_estate_industry_on_filing_percentage
0,1999-06-30,0.7204696086084708,0.0,0.6994882985928211,0.0,0.7256053414849972,0.0,0.7191769326306603,0.0,0.7233321312657771,0.0,0.7136443003242704,0.0,0.6698018139066174,0.0
1,1999-09-30,0.7077452724881467,0.0,0.6924456680432153,0.0,0.7088760574728078,0.0,0.7018377253814148,0.0,0.6988240418118467,0.0,0.7097694318992156,0.0,0.6596764529658478,0.0
2,1999-12-31,0.5736894058067423,0.25745155683354437,0.5864632574129781,0.25741297808336916,0.5630654603512507,0.26410324640766364,0.5590489409208859,0.2684810814072778,0.5618078960038517,0.262217140105922,0.5774144098109351,0.2641798671435871,0.5672138420585625,0.2732919254658385
3,2000-03-31,0.6742575575975496,0.23910566579364023,0.6751733231253456,0.2379737144315427,0.6656856974690994,0.24736119285854424,0.6652427933638317,0.25213580995425233,0.6654971985128554,0.2527622139603079,0.6558382553384825,0.2555656519763744,0.622356495468278,0.2768666378938282
4,2000-06-30,0.6161017390522094,0.16050130914221594,0.6256983240223464,0.15810421002665498,0.6206027181406343,0.15737640338782746,0.6019359600317928,0.1641308050414443,0.6053492833765941,0.1662904864010834,0.6111111111111112,0.16980761680408324,0.6076568796776051,0.17112838226827864
5,2000-09-30,0.6355023988766236,0.21237859343916995,0.6345117067159581,0.21626617375231053,0.6310488724821443,0.21210175748334806,0.6291307523739956,0.2210080350620891,0.6308600532469035,0.21709688621368214,0.637481089258699,0.212178517397882,0.6089342887635311,0.24332977588046958
6,2000-12-31,0.6179249772266863,0.21874617612269037,0.6184657628282135,0.21644070705337223,0.6210880538418396,0.217573378201533,0.60272101409682,0.22754343787564202,0.6062775330396476,0.22142070484581497,0.6037606837606838,0.2335042735042735,0.5792818557356212,0.2302192564346997
7,2001-03-31,0.6560890356421479,0.20974569599582532,0.6515992428860159,0.21167110455230823,0.6604059599955633,0.21584648944430065,0.6369394618834081,0.21768497757847532,0.6374944221329764,0.21569611780455153,0.6623597415844951,0.21795307718463108,0.6215719536330223,0.2278767316935256
8,2001-06-30,0.6310851643227515,0.2387296228597008,0.6188675490098517,0.2449331608451919,0.633688240220122,0.2371894564740599,0.6164363969221087,0.25415486713006663,0.6200249125096388,0.25197224034640253,0.6234850966262693,0.24582377988863413,0.5782527614402525,0.2899153636494047
9,2001-09-30,0.6253204271702446,0.25517384720448943,0.6306164383561644,0.2517123287671233,0.6142323668862502,0.2627449334955734,0.6192649002454528,0.2612499213292215,0.6270439831809383,0.25348728559033573,0.6146909637422506,0.2609430772120984,0.6089181286549707,0.27017543859649124
10,2001-12-31,0.6253759440125795,0.26532013376741304,0.6320073188428657,0.260165935833938,0.6201273787599755,0.2656537753222836,0.6121763085399449,0.2840771349862259,0.6192925673332562,0.2773089816206219,0.6215648520917206,0.2727113600560126,0.6311931243680485,0.2673154701718908
11,2002-03-31,0.7210754320074538,0.22364970655191294,0.7371912168344007,0.2081427264409881,0.7277478293074359,0.22147236739228837,0.6988854489164087,0.24495356037151703,0.701121572971476,0.2441844364441983,0.7271441202475685,0.21962864721485412,0.7462802432397464,0.2036485961961444
